rui_location_id,number_of_collisions,No algo runtime,GPU algo runtime,CPU algo runtime(24 threads),ratio (GPU/CPU),CPU Speedup ratio(24 threads parallel/no algo)
http://purl.org/ccf/1.5/53a6bbda-8263-419d-96e8-ba4561899d87,2,9.985460491,0.801778482,0.626952651,1.278850134,15.92697706
http://purl.org/ccf/1.5/65f3b03b-1eb1-487d-8c02-c4d107cc9400,2,6.297225648,0.595554488,0.37279176,1.597552714,16.89207307
http://purl.org/ccf/1.5/4ecffbfc-dc50-4140-95e8-4f97d5804f4f,2,9.066076593,0.451347759,0.49655798,0.908952785,18.25784089
http://purl.org/ccf/1.5/84f689bc-1b04-4464-a5fa-0af5880203e9,2,6.307268832,0.591119325,0.348102389,1.698119127,18.11900473
http://purl.org/ccf/1.5/7f4ad752-8a2d-4088-b91e-4e0d1a724d98,2,3.02114212,5.470805749,0.210805679,25.95188979,14.33140765
http://purl.org/ccf/1.5/f50553aa-d022-4115-aab5-58f588244820,2,3.025789588,5.476026829,0.207727938,26.36153269,14.56611767
http://purl.org/ccf/1.5/2d293c0a-b148-4243-a5d9-32dbc7d1460f,2,9.637480568,0.699173355,0.590824933,1.183384986,16.31190566
http://purl.org/ccf/1.5/b077aef9-808e-48b1-8d2d-15aab54d0a86,2,9.076711855,0.456562119,0.594922425,0.767431349,15.25696708
http://purl.org/ccf/1.5/073ed584-7a76-4fb1-a7aa-8df8188a0605,2,3.171431658,2.247691415,0.28671705,7.839406185,11.06118962
http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,2,7.14423689,5.668572396,0.654476389,8.661232844,10.91595818
http://purl.org/ccf/1.5/6febbcea-502d-466e-bb26-6e3eb8240902,2,3.150615801,2.250366757,0.278891413,8.06897112,11.29692652
http://purl.org/ccf/1.5/fa9ecb7f-16d5-4733-bc89-46496a9e886e,2,3.172359307,2.245544017,0.258388785,8.69056301,12.27746517
http://purl.org/ccf/1.5/76ac786b-8bde-4fcc-a96d-3c68b8d852b8,2,3.612229752,0.89824922,0.228723496,3.927227573,15.79299816
http://purl.org/ccf/1.5/59b4fb10-8a7b-43f1-bd0c-d487cf8fca43,2,3.411242067,0.697749197,0.259515999,2.688655804,13.14463108
http://purl.org/ccf/1.5/b2273bd7-4a53-4864-94d3-ae36ec0e8769,2,6.705331724,3.664209716,0.486625022,7.529842384,13.77925799
http://purl.org/ccf/1.5/06e12f74-7dd8-4a49-87dc-f54ac6edd4cc,2,2.900497237,4.971856456,0.263276964,18.88450999,11.01690476
http://purl.org/ccf/1.5/373c77e0-1d77-4c28-b547-0eb9420f30bc,2,2.883812463,4.97595898,0.223264809,22.28725164,12.91655625
http://purl.org/ccf/1.5/1f7d903f-4eca-45eb-ba18-00a855bff926,2,2.707321764,2.410445485,0.178557238,13.49956749,15.16220678
