rui_location_id,number_of_collisions,CPU_time,GPU_time
http://purl.org/ccf/1.5/53a6bbda-8263-419d-96e8-ba4561899d87,2,9.349590046,0.968153064
http://purl.org/ccf/1.5/e240c0a4-5e53-4464-8320-ad775f2c4bf7,1,-,-
http://purl.org/ccf/1.5/f9e28182-3ed3-4a3f-bd45-66ebce1efafb,1,-,-
http://purl.org/ccf/1.5/6cc00882-7403-4eca-8f50-03eebfc8c873,1,-,-
http://purl.org/ccf/1.5/65f3b03b-1eb1-487d-8c02-c4d107cc9400,2,6.196317644,0.596962639
http://purl.org/ccf/1.5/fe276ee5-752a-456e-bb25-4e5da071c6ed,1,-,-
http://purl.org/ccf/1.5/4ecffbfc-dc50-4140-95e8-4f97d5804f4f,2,8.790955737,0.45795133
http://purl.org/ccf/1.5/54299692-7ff8-468b-9c0a-c04a32f6fbe1,1,-,-
http://purl.org/ccf/1.5/84f689bc-1b04-4464-a5fa-0af5880203e9,2,6.296170969,0.595776722
http://purl.org/ccf/1.5/93286ce3-669a-4f3f-a85a-7eaaedc15c59,1,-,-
http://purl.org/ccf/1.5/7f4ad752-8a2d-4088-b91e-4e0d1a724d98,2,3.029769834,5.459813939
http://purl.org/ccf/1.5/296f4f10-2d50-4b28-932a-69a6658171c1,1,-,-
http://purl.org/ccf/1.5/f50553aa-d022-4115-aab5-58f588244820,2,3.04206855,5.468279663
http://purl.org/ccf/1.5/2d293c0a-b148-4243-a5d9-32dbc7d1460f,2,9.381974998,0.697144146
http://purl.org/ccf/1.5/b077aef9-808e-48b1-8d2d-15aab54d0a86,2,8.821272271,0.458752748
